"","box","date_"
"1",46,"2021-04-06"
"2",272,"2021-04-06"
"3",145,"2021-04-07"
"4",120,"2021-04-12"
"5",123,"2021-04-12"
"6",25,"2021-04-13"
"7",85,"2021-04-13"
"8",227,"2021-04-14"
"9",231,"2021-04-14"
"10",116,"2021-04-14"
"11",263,"2021-04-15"
"12",241,"2021-04-15"
"13",257,"2021-04-15"
"14",233,"2021-04-15"
"15",189,"2021-04-15"
"16",106,"2021-04-15"
"17",111,"2021-04-15"
"18",82,"2021-04-15"
"19",15,"2021-04-15"
"20",43,"2021-04-15"
"21",99,"2021-04-15"
"22",124,"2021-04-15"
"23",151,"2021-04-15"
"24",51,"2021-04-16"
"25",275,"2021-04-16"
"26",240,"2021-04-16"
"27",214,"2021-04-16"
"28",200,"2021-04-16"
"29",175,"2021-04-16"
"30",160,"2021-04-16"
"31",28,"2021-04-16"
"32",64,"2021-04-16"
"33",93,"2021-04-16"
"34",112,"2021-04-16"
"35",18,"2021-04-17"
"36",20,"2021-04-17"
"37",72,"2021-04-17"
"38",146,"2021-04-17"
"39",197,"2021-04-17"
"40",246,"2021-04-17"
"41",169,"2021-04-17"
"42",150,"2021-04-19"
"43",9,"2021-04-19"
"44",141,"2021-04-19"
"45",13,"2021-04-20"
"46",36,"2021-04-20"
"47",48,"2021-04-21"
"48",53,"2021-04-21"
"49",256,"2021-04-21"
"50",255,"2021-04-21"
"51",254,"2021-04-21"
"52",215,"2021-04-21"
"53",261,"2021-04-22"
"54",216,"2021-04-22"
"55",192,"2021-04-22"
"56",209,"2021-04-22"
"57",177,"2021-04-22"
"58",16,"2021-04-22"
"59",8,"2021-04-22"
"60",70,"2021-04-22"
"61",102,"2021-04-22"
"62",129,"2021-04-22"
"63",121,"2021-04-22"
"64",163,"2021-04-22"
"65",137,"2021-04-22"
"66",134,"2021-04-22"
"67",44,"2021-04-23"
"68",88,"2021-04-23"
"69",59,"2021-04-23"
"70",114,"2021-04-23"
"71",184,"2021-04-23"
"72",220,"2021-04-23"
"73",90,"2021-04-23"
"74",202,"2021-04-23"
"75",249,"2021-04-23"
"76",235,"2021-04-23"
"77",212,"2021-04-23"
"78",187,"2021-04-23"
"79",166,"2021-04-23"
"80",108,"2021-04-23"
"81",24,"2021-04-24"
"82",54,"2021-04-24"
"83",83,"2021-04-24"
"84",211,"2021-04-24"
"85",195,"2021-04-24"
"86",207,"2021-04-24"
"87",203,"2021-04-24"
"88",170,"2021-04-24"
"89",96,"2021-04-24"
"90",67,"2021-04-24"
"91",38,"2021-04-24"
"92",32,"2021-04-24"
"93",3,"2021-04-24"
"94",30,"2021-04-24"
"95",42,"2021-04-24"
"96",73,"2021-04-24"
"97",182,"2021-04-24"
"98",118,"2021-04-24"
"99",236,"2021-04-15"
"100",269,"2021-04-25"
"101",168,"2021-04-25"
"102",136,"2021-04-25"
"103",55,"2021-04-25"
"104",34,"2021-04-26"
"105",183,"2021-04-26"
"106",179,"2021-04-26"
"107",267,"2021-04-26"
"108",242,"2021-04-26"
"109",271,"2021-04-26"
"110",162,"2021-04-26"
"111",47,"2021-04-27"
"112",250,"2021-04-27"
"113",222,"2021-04-27"
"114",1,"2021-04-27"
"115",35,"2021-04-27"
"116",6,"2021-04-27"
"117",10,"2021-04-27"
"118",115,"2021-04-24"
"119",84,"2021-04-24"
"120",174,"2021-04-27"
"121",113,"2021-04-26"
"122",165,"2021-04-27"
"123",248,"2021-04-25"
"124",104,"2021-04-28"
"125",259,"2021-04-28"
"126",77,"2021-04-29"
"127",100,"2021-04-29"
"128",131,"2021-04-29"
"129",172,"2021-04-29"
"130",190,"2021-04-29"
"131",79,"2021-04-30"
"132",40,"2021-04-30"
"133",199,"2021-05-01"
"134",208,"2021-05-03"
"135",157,"2021-05-04"
"136",63,"2021-04-30"
"137",180,"2021-05-07"
"138",132,"2021-05-05"
"139",94,"2021-05-07"
"140",110,"2021-05-11"
"141",205,"2021-05-11"
"142",173,"2021-05-07"
"143",14,"2021-05-20"
"144",109,"2021-05-20"
"145",148,"2021-05-20"
"146",95,"2021-05-27"
