ID,transponder,sex_field
B5A9494,D73000,1
B5A9495,E97000,1
B5A9496,900800,1
B5A9497,133000,2
B5A9498,B67000,2
B5A9499,20B000,2
B5A9500,A97000,1
B5A9501,4AB000,1
B5A9097,327000,1
B5A9502,633000,2
B5A9503,397000,1
B5A9504,10B000,2
B5A9505,B17000,2
B5A9506,D17000,1
B5A9507,427000,2
B5A9508,AE8800,1
B5A9509,418800,2
B5A9510,7A8800,2
B5A9511,6E8800,2
B5A9512,FA8800,1
B5A9513,AA8800,2
B5A9514,E28800,2
B4X8994,828800,1
B5A9515,68800,2
B5A9516,518800,2
B5A9517,7E0800,2
B5A9518,AB7000,2
B5A9519,E18800,2
B5A9520,368800,1
B5A9521,2A8800,1
B5A9522,E5F000,2
B5A9523,D1F000,2
B5A9524,650800,1
B5A9525,E10800,2
B5A9526,B6F000,2
B4X8914,05F000,2
B5A9527,B1F000,1
B5A9528,51F000,2
B5A9529,85F000,1
B5A9530,1DF000,2
B5A9531,C9F000,2
B5A9532,65F000,2
B5A9149,89F000,1
B5A9533,9EF000,2
B4X1031,0DF000,2
B5A9534,9DF000,2
B4X8650,55F000,2
